"Nazwa";"Zadruk";"Laminowanie";"Mechanizm";"Wielobig";"Kółko grzbietowe";"Kieszonki (wklejane)";"Nakład";"Product quantity limit";"Koszt";"Dodatkowe dni"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"1";"9";"433.06";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"10";"19";"111.24";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"20";"49";"70.48";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"50";"74";"49.02";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"75";"99";"42.59";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"100";"149";"38.30";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"150";"199";"36.15";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"200";"249";"35.08";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"250";"299";"34.01";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"300";"399";"31.86";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"400";"499";"28.64";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"500";"599";"26.50";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"600";"699";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"700";"799";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"800";"899";"24.14";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"900";"999";"23.71";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Icke";"1000";"9999";"23.28";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"1";"9";"433.91";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"10";"19";"112.10";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"20";"49";"71.34";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"50";"74";"49.88";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"75";"99";"43.45";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"100";"149";"39.15";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"150";"199";"37.01";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"200";"249";"35.94";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"250";"299";"34.86";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"300";"399";"32.72";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"400";"499";"29.50";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"500";"599";"27.35";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"600";"699";"25.85";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"700";"799";"25.42";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"800";"899";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"900";"999";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Ryggficka";"1000";"9999";"24.14";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"1";"9";"434.13";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"10";"19";"112.31";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"20";"49";"71.55";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"50";"74";"50.10";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"75";"99";"43.66";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"100";"149";"39.37";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"150";"199";"37.22";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR16/04/152";"Nej";"Nej";"Trekantig ficka";"200";"249";"36.15";"0"
